dataset,setting,seed,method,adaptive_min_edges,best_val,test_at_best_val,macro_f1,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,peer_to_peer_comm,global_readout_comm,total_comm,protocol_type,label_protocol,training_protocol,validation_protocol,validation_evaluator,active_party_id,passive_label_access,local_training_labels,validation_label_protocol,topology_evaluator,local_training_protocol,validation_split_mode,topology_val_fraction,topology_val_count,selection_val_count,topology_objective,joint_lambda,active_readout_acc,local_post_consensus_mean_acc,active_party_post_consensus_acc,local_worst_acc,local_best_acc,dropout_protocol,dropout_rate,dropout_seed,remaining_parties,dropped_party_ids,test_acc_after_dropout,local_post_consensus_acc_after_dropout,num_edges,peer_comm,readout_comm,control_plane_comm,final_edges,topology_update_comm,topology_eval_count,topology_update_time,useful_useful_edges,useful_noisy_edges,noisy_noisy_edges,selected_edges,useful_party_mask,party_view_names,party_reliabilities,party_permutation,prediction_cache_path,prediction_cache_fingerprint,auc,f1,ndcg_at_10
MovieLens1M,five,44,local_uniform_vote,2,0.6879055500030518,0.6907949447631836,0.6699115851847453,0.6699115851847453,0.6907949447631836,0.6907949447631836,0,0,0,2000420,2000420,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6917647123336792,0.664084541797638,0.689110279083252,0.6326221227645874,0.689110279083252,none,0.0,0,5,[],-1.0,-1.0,0,0,2000420,0,0,0,0,0.0,0,0,0,[],"[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.689545214176178, 0.6788874268531799, 0.632027268409729, 0.6229791641235352, 0.6879355311393738]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed44.pt,7a56ab13ab860adda2c385dfe701662cbbb0b037e81ce46009c303c2a11386a7,0.7495106120973974,0.7529377930803091,0.850120090482629
MovieLens1M,five,44,local_reliability_vote,2,0.6888753175735474,0.6917647123336792,0.6715754129620046,0.6715754129620046,0.6917647123336792,0.6917647123336792,0,0,0,2000420,2000420,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6917647123336792,0.664084541797638,0.689110279083252,0.6326221227645874,0.689110279083252,none,0.0,0,5,[],-1.0,-1.0,0,0,2000420,0,0,0,0,0.0,0,0,0,[],"[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.689545214176178, 0.6788874268531799, 0.632027268409729, 0.6229791641235352, 0.6879355311393738]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed44.pt,7a56ab13ab860adda2c385dfe701662cbbb0b037e81ce46009c303c2a11386a7,0.7502003939040995,0.7530043262297709,0.8510483814867527
MovieLens1M,five,44,adaptive_graph_val,2,0.694564163684845,0.6959588527679443,0.6841441808129929,0.6841441808129929,0.6959588527679443,0.6959588527679443,0,1600336,1600336,1200252,2800588,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6959588527679443,0.667099905014038,0.6908949017524719,0.6326221227645874,0.6908949017524719,none,0.0,0,5,[],-1.0,-1.0,2,1600336,1200252,1000210,2,1000210,25,0.3239905999944312,2,0,0,"[[0,1],[0,4]]","[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.689545214176178, 0.6788874268531799, 0.632027268409729, 0.6229791641235352, 0.6879355311393738]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed44.pt,7a56ab13ab860adda2c385dfe701662cbbb0b037e81ce46009c303c2a11386a7,0.7522389233913467,0.7452320812965219,0.8567569739988942
MovieLens1M,five,44,fixed_ring,2,0.6888853311538696,0.6917897462844849,0.6716098503187811,0.6716098503187811,0.6917897462844849,0.6917897462844849,0,4000840,4000840,2000420,6001260,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6917897462844849,0.6692344665527343,0.6908949017524719,0.6392207741737366,0.6908949017524719,none,0.0,0,5,[],-1.0,-1.0,5,4000840,2000420,0,5,0,0,0.0,5,0,0,"[[0,1],[0,4],[1,2],[2,3],[3,4]]","[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.689545214176178, 0.6788874268531799, 0.632027268409729, 0.6229791641235352, 0.6879355311393738]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed44.pt,7a56ab13ab860adda2c385dfe701662cbbb0b037e81ce46009c303c2a11386a7,0.7502164973986116,0.7530154508053887,0.8510117075687874
MovieLens1M,five,44,random_matched,2,0.690684974193573,0.6922146081924438,0.6772911975925924,0.6772911975925924,0.6922146081924438,0.6922146081924438,0,1600336,1600336,1200252,2800588,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6922146081924438,0.6679507374763489,0.6911748647689819,0.639605700969696,0.6911748647689819,none,0.0,0,5,[],-1.0,-1.0,2,1600336,1200252,0,2,0,0,0.0,2,0,0,"[[0,4],[3,4]]","[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.689545214176178, 0.6788874268531799, 0.632027268409729, 0.6229791641235352, 0.6879355311393738]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed44.pt,7a56ab13ab860adda2c385dfe701662cbbb0b037e81ce46009c303c2a11386a7,0.7479230100879739,0.7466880605611783,0.8489871074233779
MovieLens1M,five,44,full_mesh,2,0.6888853311538696,0.6917797327041626,0.6715592831749786,0.6715592831749786,0.6917797327041626,0.6917797327041626,0,8001680,8001680,2000420,10002100,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6917797327041626,0.67075115442276,0.6911398768424988,0.643174946308136,0.6911398768424988,none,0.0,0,5,[],-1.0,-1.0,10,8001680,2000420,0,10,0,0,0.0,10,0,0,"[[0,1],[0,2],[0,3],[0,4],[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]]","[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.689545214176178, 0.6788874268531799, 0.632027268409729, 0.6229791641235352, 0.6879355311393738]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed44.pt,7a56ab13ab860adda2c385dfe701662cbbb0b037e81ce46009c303c2a11386a7,0.7501704815285855,0.7530529444041703,0.8510288362716527
MovieLens1M,five,44,adaptive_pair,2,0.6910748481750488,0.6937443017959595,0.6748433111595522,0.6748433111595522,0.6937443017959595,0.6937443017959595,0,3200672,3200672,2000420,5201092,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6937443017959595,0.667198896408081,0.6908949017524719,0.634586751461029,0.6908949017524719,none,0.0,0,5,[],-1.0,-1.0,4,3200672,2000420,1000210,4,1000210,0,0.0749070000019855,4,0,0,"[[0,1],[0,4],[1,4],[2,3]]","[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.689545214176178, 0.6788874268531799, 0.632027268409729, 0.6229791641235352, 0.6879355311393738]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed44.pt,7a56ab13ab860adda2c385dfe701662cbbb0b037e81ce46009c303c2a11386a7,0.7514518293515526,0.7532383837081911,0.8524477604231894
MovieLens1M,five,44,adaptive_complementarity,2,0.6829665899276733,0.6877155900001526,0.6671642376874727,0.6671642376874727,0.6877155900001526,0.6877155900001526,0,3200672,3200672,1600336,4801008,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6877155900001526,0.6712230443954468,0.6907699108123779,0.6476140022277832,0.6907699108123779,none,0.0,0,5,[],-1.0,-1.0,4,3200672,1600336,1000210,4,1000210,0,0.0743597999971825,4,0,0,"[[0,2],[0,3],[2,4],[3,4]]","[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.689545214176178, 0.6788874268531799, 0.632027268409729, 0.6229791641235352, 0.6879355311393738]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed44.pt,7a56ab13ab860adda2c385dfe701662cbbb0b037e81ce46009c303c2a11386a7,0.7437970856484608,0.7498698698698699,0.8438171066865943
MovieLens1M,five,44,topk_reliability_vote,2,0.6930144429206848,0.6924095749855042,0.682788192663992,0.682788192663992,0.6924095749855042,0.6924095749855042,0,0,0,800168,800168,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6924095749855042,0.664084541797638,0.689110279083252,0.6326221227645874,0.689110279083252,none,0.0,0,5,[],-1.0,-1.0,0,0,800168,0,0,0,0,0.0,0,0,0,[],"[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.689545214176178, 0.6788874268531799, 0.632027268409729, 0.6229791641235352, 0.6879355311393738]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed44.pt,7a56ab13ab860adda2c385dfe701662cbbb0b037e81ce46009c303c2a11386a7,0.7488471572564916,0.7380333019699338,0.853436781633679
MovieLens1M,five,45,single_party_best,2,0.6876456141471863,0.6767978668212891,0.6719895500231461,0.6719895500231461,0.6767978668212891,0.6767978668212891,0,0,0,0,0,local_reference,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6927445530891418,0.6632707118988037,0.6867157816886902,0.6354665756225586,0.6867157816886902,none,0.0,0,5,[],-1.0,-1.0,0,0,0,0,0,0,0,0.0,0,0,0,[],"[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.6868257522583008, 0.6803171038627625, 0.6291678547859192, 0.6271682977676392, 0.6876456141471863]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed45.pt,b1f89226c1301e7cb7c7725bc684a7ec5d96af6ed3db1591a5202e7a33cddf51,0.731397266707836,0.711703275632965,0.8359773612064201
