dataset,method,method_label,K,test_mean,test_std,active_mean,active_std,local_mean,local_std,edges_mean,edges_std,comm_mean,topology_time_mean,reachable_1hop_mean,reachable_Khop_mean,multihop_gain_fraction_mean
ACM,adaptive_complementarity,Adaptive Complementarity,1,0.7673805475234985,0.051854014568489724,0.7673805475234985,0.051854014568489724,0.4360241623719533,0.003962250854588304,14.0,0.0,381150.0,0.5984780599916121,2.8666666666666667,2.8666666666666667,0.0
ACM,adaptive_complementarity,Adaptive Complementarity,2,0.7650741338729858,0.05285453076410566,0.7650741338729858,0.05285453076410566,0.43949478348096205,0.004386044115603212,14.0,0.0,635250.0,0.5342057800036855,2.8666666666666667,4.173333333333334,0.6533333333333333
ACM,adaptive_complementarity,Adaptive Complementarity,3,0.7607907772064209,0.05263325761698837,0.7607907772064209,0.05263325761698837,0.4410324005285899,0.004255531065862173,14.2,0.44721359549995804,902055.0,0.5670243200060213,2.8933333333333335,5.4,0.6266666666666667
ACM,adaptive_graph_val,TA-DVFG,1,0.8553542017936706,0.02908572373359546,0.8553542017936706,0.02908572373359546,0.43174080212910965,0.006723880000315187,5.0,0.0,143385.0,9.992414059999282,1.6666666666666667,1.6666666666666667,0.0
ACM,adaptive_graph_val,TA-DVFG,2,0.8517298221588134,0.03044434544792548,0.8517298221588134,0.03044434544792548,0.4325974746545156,0.01485290896792121,5.0,0.0,234135.0,11.99375210000726,1.6666666666666667,2.1733333333333333,0.3333333333333333
ACM,adaptive_graph_val,TA-DVFG,3,0.8583196043968201,0.025628263868396606,0.8583196043968201,0.025628263868396606,0.43887973666191094,0.015726188496221555,5.0,0.0,324885.0,14.35018256001349,1.6666666666666667,2.306666666666667,0.3333333333333333
ACM,adaptive_pair,Adaptive Pairwise,1,0.7640856742858887,0.045705878372776884,0.7640856742858887,0.045705878372776884,0.4373640859127044,0.004717181336701187,14.0,0.0,382965.0,0.619192079998902,2.8666666666666667,2.8666666666666667,0.0
ACM,adaptive_pair,Adaptive Pairwise,2,0.763426685333252,0.0465035208859041,0.763426685333252,0.0465035208859041,0.4406589798132578,0.005320456075254035,14.0,0.0,637065.0,0.5619796000217321,2.8666666666666667,3.986666666666667,0.5599999999999999
ACM,adaptive_pair,Adaptive Pairwise,3,0.7598023056983948,0.05086315751095468,0.7598023056983948,0.05086315751095468,0.4425260857741038,0.0053255522001736675,14.0,0.0,891165.0,0.590644000004977,2.8666666666666667,5.426666666666667,0.6399999999999999
ACM,full_mesh,Full Mesh,1,0.7551894545555115,0.050383318816870526,0.7551894545555115,0.050383318816870526,0.4294124114513397,0.010514559175925774,105.0,0.0,2041875.0,0.0,15.0,15.0,0.0
ACM,full_mesh,Full Mesh,2,0.7532125353813172,0.05104956929183746,0.7532125353813172,0.05104956929183746,0.438945631980896,0.009816593985011631,105.0,0.0,3947625.0,0.0,15.0,15.0,0.0
ACM,full_mesh,Full Mesh,3,0.7512355923652649,0.05107083387913405,0.7512355923652649,0.05107083387913405,0.44891817728678385,0.0101942499188733,105.0,0.0,5853375.0,0.0,15.0,15.0,0.0
ACM,topk_reliability_vote,Global Top-k,1,0.8550247073173523,0.027787692542061912,0.8550247073173523,0.027787692542061912,0.41491488099098206,0.014021135546287554,0.0,0.0,45375.0,0.0,1.0,1.0,0.0
DBLP,adaptive_complementarity,Adaptive Complementarity,1,0.8732186794281006,0.016003551882490412,0.8732186794281006,0.016003551882490412,0.36095003922780355,0.006308273603001635,14.2,0.44721359549995815,694558.4,1.5675440799997886,2.8933333333333335,2.8933333333333335,0.0
DBLP,adaptive_complementarity,Adaptive Complementarity,2,0.856019651889801,0.015718110842463325,0.856019651889801,0.015718110842463325,0.3916298109292984,0.007358802477339217,14.2,0.44721359549995815,1152188.0,1.3749381200177595,2.8933333333333335,4.706666666666666,0.9066666666666666
DBLP,adaptive_complementarity,Adaptive Complementarity,3,0.8457002401351928,0.020677551863554022,0.8457002401351928,0.020677551863554022,0.4165929555892943,0.00815935999937685,14.2,0.44721359549995815,1616308.8,1.5187493200035533,2.8933333333333335,6.04,0.8933333333333333
DBLP,adaptive_graph_val,TA-DVFG,1,0.9024570107460022,0.011412509686966688,0.9024570107460022,0.011412509686966688,0.36132678031921384,0.003986863472819252,5.0,0.0,253156.8,13.313676500011933,1.6666666666666667,1.6666666666666667,0.0
DBLP,adaptive_graph_val,TA-DVFG,2,0.9014742016792298,0.01321423572104797,0.9014742016792298,0.01321423572104797,0.3755282531181971,0.012954123597139816,5.0,0.0,418682.4,17.04922980000265,1.6666666666666667,2.1733333333333333,0.36
DBLP,adaptive_graph_val,TA-DVFG,3,0.9034398198127747,0.011312892608785903,0.9034398198127747,0.011312892608785903,0.4011629782120386,0.010149234402646728,5.0,0.0,590699.2,20.48799880000879,1.6666666666666667,2.146666666666667,0.32
