dataset,setting,seed,adaptive_min_edges,test_at_best_val,final_edges,selected_edges,topology_update_time,edge_budget,min_edges,empty_val_score,first_best_edge,first_edge_gain,final_topology_val_score,trace_eval_count,trace_final_edges,trace_selected_edges,stopping_reason
DBLP,Hard,46,0,0.8992629051208496,2,"[[2,4],[5,6]]",26.08406610001112,15,0,0.8703703880310059,"[2, 4]",0.03209877014160156,0.9098765254020691,312,2,"[[2, 4], [5, 6]]",threshold not met
DBLP,Hard,42,1,0.8918918967247009,3,"[[2,8],[4,7],[4,8]]",27.971712200029287,15,1,0.86543208360672,"[2, 8]",0.0407407283782959,0.9160493612289429,390,3,"[[2, 8], [4, 7], [4, 8]]",threshold not met
DBLP,Hard,43,1,0.9164618849754332,3,"[[7,10],[9,10],[9,12]]",26.280035800038604,15,1,0.8814814686775208,"[7, 10]",0.03703707456588745,0.9234567880630493,390,3,"[[7, 10], [9, 12], [9, 10]]",threshold not met
DBLP,Hard,44,1,0.8955773711204529,4,"[[5,6],[5,11],[10,12],[11,14]]",25.243099500017703,15,1,0.8481481671333313,"[5, 11]",0.03580242395401001,0.8913580179214478,479,4,"[[5, 11], [10, 12], [11, 14], [5, 6]]",threshold not met
DBLP,Hard,45,1,0.9078623652458192,3,"[[5,8],[8,13],[10,13]]",22.525072900025407,15,1,0.8802469372749329,"[5, 8]",0.02839505672454834,0.9160493612289429,390,3,"[[5, 8], [10, 13], [8, 13]]",threshold not met
DBLP,Hard,46,1,0.8992629051208496,2,"[[2,4],[5,6]]",24.04470939998282,15,1,0.8703703880310059,"[2, 4]",0.03209877014160156,0.9098765254020691,312,2,"[[2, 4], [5, 6]]",threshold not met
DBLP,Hard,42,3,0.8918918967247009,3,"[[2,8],[4,7],[4,8]]",31.97245379994274,15,3,0.86543208360672,"[2, 8]",0.0407407283782959,0.9160493612289429,390,3,"[[2, 8], [4, 7], [4, 8]]",threshold not met
DBLP,Hard,43,3,0.9164618849754332,3,"[[7,10],[9,10],[9,12]]",31.82338900008472,15,3,0.8814814686775208,"[7, 10]",0.03703707456588745,0.9234567880630493,390,3,"[[7, 10], [9, 12], [9, 10]]",threshold not met
DBLP,Hard,44,3,0.8955773711204529,4,"[[5,6],[5,11],[10,12],[11,14]]",31.71980699998676,15,3,0.8481481671333313,"[5, 11]",0.03580242395401001,0.8913580179214478,479,4,"[[5, 11], [10, 12], [11, 14], [5, 6]]",threshold not met
DBLP,Hard,45,3,0.9078623652458192,3,"[[5,8],[8,13],[10,13]]",30.249485399923287,15,3,0.8802469372749329,"[5, 8]",0.02839505672454834,0.9160493612289429,390,3,"[[5, 8], [10, 13], [8, 13]]",threshold not met
DBLP,Hard,46,3,0.9066339135169984,3,"[[2,4],[2,7],[5,6]]",29.43343829998048,15,3,0.8703703880310059,"[2, 4]",0.03209877014160156,0.9098765254020691,402,3,"[[2, 4], [5, 6], [2, 7]]",threshold not met
DBLP,Hard,42,5,0.885749340057373,5,"[[1,3],[2,7],[2,8],[4,7],[4,8]]",39.07375569999567,15,5,0.86543208360672,"[2, 8]",0.0407407283782959,0.9098765254020691,499,5,"[[2, 8], [4, 7], [4, 8], [2, 7], [1, 3]]",threshold not met
DBLP,Hard,43,5,0.9164618849754332,5,"[[3,6],[7,10],[7,12],[9,10],[9,12]]",38.92734600001131,15,5,0.8814814686775208,"[7, 10]",0.03703707456588745,0.9197530746459961,499,5,"[[7, 10], [9, 12], [9, 10], [7, 12], [3, 6]]",threshold not met
DBLP,Hard,44,5,0.898034393787384,5,"[[0,1],[5,6],[5,11],[10,12],[11,14]]",40.49328100000275,15,5,0.8481481671333313,"[5, 11]",0.03580242395401001,0.8888888955116272,555,5,"[[5, 11], [10, 12], [11, 14], [5, 6], [0, 1]]",threshold not met
DBLP,Hard,45,5,0.9054054021835328,5,"[[4,7],[5,8],[5,10],[8,13],[10,13]]",38.27344750004704,15,5,0.8802469372749329,"[5, 8]",0.02839505672454834,0.9135802388191223,499,5,"[[5, 8], [10, 13], [8, 13], [5, 10], [4, 7]]",threshold not met
DBLP,Hard,46,5,0.9066339135169984,5,"[[2,4],[2,7],[4,6],[5,6],[5,7]]",40.18371660003322,15,5,0.8703703880310059,"[2, 4]",0.03209877014160156,0.9098765254020691,513,5,"[[2, 4], [5, 6], [2, 7], [4, 6], [5, 7]]",threshold not met
