dataset,method,topology_objective,joint_lambda,adaptive_min_edges,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,active_readout_acc_mean,active_readout_acc_std,local_post_consensus_mean_acc_mean,local_post_consensus_mean_acc_std,active_party_post_consensus_acc_mean,active_party_post_consensus_acc_std,local_worst_acc_mean,local_worst_acc_std,local_best_acc_mean,local_best_acc_std,inference_comm_mean,inference_comm_std,peer_to_peer_comm_mean,peer_to_peer_comm_std,global_readout_comm_mean,global_readout_comm_std,total_comm_mean,total_comm_std,protocol_type,validation_evaluator,active_party_id,local_training_labels,validation_label_protocol,topology_evaluator,local_training_protocol,validation_split_mode,topology_val_fraction,topology_val_count,selection_val_count,final_edges_mean,final_edges_std,topology_update_comm_mean,topology_update_comm_std,topology_eval_count_mean,topology_eval_count_std,topology_update_time_mean,topology_update_time_std,useful_useful_edges_mean,useful_useful_edges_std,useful_noisy_edges_mean,useful_noisy_edges_std,noisy_noisy_edges_mean,noisy_noisy_edges_std,seeds,prediction_cache_fingerprints
DBLP,full_mesh,active,0.5,5,0.8754299879074097,0.013998451801127848,0.8624999693579527,0.015276141423520182,0.8754299879074097,0.013998451801127848,0.4824733825524648,0.009461782791813339,0.41990172266960146,0.025193561903970235,0.38525798320770266,0.010556537800050088,0.8928747057914734,0.015759334549053226,10223640.0,0.0,10223640.0,0.0,243420.0,0.0,10467060.0,0.0,peer_to_peer_topology,all_parties,0,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,810,810,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,0.0,66.0,0.0,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
DBLP,adaptive_pair,active,0.5,5,0.8670761585235596,0.009560234950870295,0.8514144216325908,0.00951969953883361,0.8670761585235596,0.009560234950870295,0.38307944377263387,0.004983026260898419,0.2619164645671844,0.011587051446957162,0.24373464286327362,0.0046358617661283455,0.8948403000831604,0.014856244972077527,1402099.2,47700.383455062496,1402099.2,47700.383455062496,236928.8,7950.063909177083,1639028.0,53330.64997916301,peer_to_peer_topology,all_parties,0,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,810,810,14.4,0.4898979485566356,729000.0,0.0,0.0,0.0,1.598887600019225,0.2561168730452399,3.0,0.0,0.0,0.0,11.4,0.4898979485566356,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
DBLP,adaptive_complementarity,active,0.5,5,0.8457002401351928,0.018494564630073696,0.8258214422465229,0.020563294422303247,0.8457002401351928,0.018494564630073696,0.41659295558929443,0.007297953444599723,0.3668304681777954,0.18257792858491195,0.24324324131011962,0.005814330253595531,0.8936118006706237,0.01414857558891391,1382625.6,38947.2,1382625.6,38947.2,233683.2,7950.063909177083,1616308.8,44264.0825157373,peer_to_peer_topology,all_parties,0,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,810,810,14.2,0.4,729000.0,0.0,0.0,0.0,1.5187493200035533,0.1424877805990611,1.0,0.0,4.0,0.0,9.2,0.4,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
DBLP,adaptive_graph_val,active,0.5,5,0.9034398198127747,0.010118558758160126,0.8960108821755831,0.010993806189438881,0.9034398198127747,0.010118558758160126,0.40116297821203867,0.009077751217559053,0.5525798499584198,0.23195378424311053,0.24054053723812102,0.0052352018906784165,0.8992628931999207,0.012837694954074804,486840.0,0.0,486840.0,0.0,103859.2,7950.063909177083,590699.2,7950.063909177083,peer_to_peer_topology,all_parties,0,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,810,810,5.0,0.0,729000.0,0.0,7772.6,133.5763452112686,20.48799880000879,1.7368662872742398,1.2,0.4,2.0,1.0954451150103321,1.8,0.7483314773547883,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
