dataset,method,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,inference_comm_mean,inference_comm_std,final_edges_mean,final_edges_std,seeds
ACM,local_uniform_vote,0.7156507253646851,0.035724913575508846,0.7161903766170751,0.03469042859296731,0.0,0.0,0.0,0.0,5
ACM,local_reliability_vote,0.8500823497772216,0.011366184125243033,0.8499854910604178,0.011403411450851747,0.0,0.0,0.0,0.0,5
ACM,fixed_ring,0.8490938901901245,0.016128147588902693,0.8493179015755832,0.016603454930921212,272250.0,0.0,15.0,0.0,5
ACM,random_regular,0.8494233727455139,0.01013414148187456,0.8495195473547371,0.010625478913884911,268620.0,7260.0,14.8,0.4,5
ACM,expander,0.8523887872695923,0.01592493653620349,0.8527333949262127,0.015932986215223193,272250.0,0.0,15.0,0.0,5
ACM,full_mesh,0.8530477523803711,0.015503505205779734,0.8532953682579685,0.015902100501176686,1905750.0,0.0,105.0,0.0,5
ACM,adaptive_pair,0.8586490750312805,0.018445521628393694,0.8588415380867651,0.018274712342682596,264990.0,8891.647766302936,14.6,0.4898979485566356,5
ACM,adaptive_complementarity,0.8467874646186828,0.01752808503573909,0.8469506345693306,0.017429484905580758,261360.0,8891.647766302936,14.4,0.4898979485566356,5
ACM,adaptive_graph_val,0.8902800440788269,0.007263707037321962,0.8903723390802655,0.007727448257396076,94380.0,7260.0,5.2,0.4,5
