dataset,method,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,inference_comm_mean,inference_comm_std,final_edges_mean,final_edges_std,seeds
IMDB,local_uniform_vote,0.28588709235191345,0.006704948907396614,0.149849743721578,0.03631840429610111,0.0,0.0,0.0,0.0,5
IMDB,local_reliability_vote,0.2856854796409607,0.0056162802395314316,0.17062434121833353,0.02599899166264811,0.0,0.0,0.0,0.0,5
IMDB,fixed_ring,0.28790321946144104,0.006298582441509785,0.1530286738757211,0.03898829677450876,739800.0,0.0,15.0,0.0,5
IMDB,random_regular,0.2838709592819214,0.006704959302543736,0.1514558619097129,0.03783822974564493,729936.0,19728.0,14.8,0.4,5
IMDB,expander,0.2877016067504883,0.00606850910910208,0.15337528390620214,0.03928956756968125,739800.0,0.0,15.0,0.0,5
IMDB,full_mesh,0.28991934657096863,0.004623925002043294,0.15470128627729982,0.04048019418877386,5178600.0,0.0,105.0,0.0,5
IMDB,adaptive_pair,0.28508063554763796,0.009571835576271457,0.16649393847942828,0.03673182046525216,720072.0,24161.766822813268,14.6,0.4898979485566356,5
IMDB,adaptive_complementarity,0.2879032135009766,0.009597281809732993,0.18455842795954633,0.007223270746887944,720072.0,24161.766822813268,14.6,0.4898979485566356,5
IMDB,adaptive_graph_val,0.3010080575942993,0.012140379592074622,0.2070131915209416,0.01128706859405557,286056.0,57516.50949075404,5.8,1.1661903789690602,5
