dataset,method,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,inference_comm_mean,inference_comm_std,final_edges_mean,final_edges_std,seeds
IMDB,local_uniform_vote,0.2864919245243073,0.011031741846467892,0.16875590806973606,0.02985513663020535,0.0,0.0,0.0,0.0,5
IMDB,local_reliability_vote,0.29798386693000795,0.011609824900581772,0.1899969983689894,0.007222597154759727,0.0,0.0,0.0,0.0,5
IMDB,fixed_ring,0.2971774160861969,0.01178013321732168,0.18955044578027774,0.008378141250208077,739800.0,0.0,15.0,0.0,5
IMDB,random_regular,0.2965725719928741,0.01078958684877487,0.1893860384661618,0.007544358534684342,729936.0,19728.0,14.8,0.4,5
IMDB,expander,0.2963709652423859,0.012147075608355524,0.18897878605371124,0.008204354403706074,739800.0,0.0,15.0,0.0,5
IMDB,full_mesh,0.29939515590667726,0.010160974798833038,0.19087532134492066,0.007657291891747568,5178600.0,0.0,105.0,0.0,5
IMDB,adaptive_pair,0.29556450843811033,0.00933535360746387,0.18766010400352043,0.006984633076962398,720072.0,24161.766822813268,14.6,0.4898979485566356,5
IMDB,adaptive_complementarity,0.29596773386001585,0.009554835742270748,0.18848484711553817,0.00836873402395949,700344.0,19728.0,14.2,0.4,5
IMDB,adaptive_graph_val,0.3923386991024017,0.010618703718606745,0.2612466434409281,0.006511922059071748,246600.0,0.0,5.0,0.0,5
