dataset,method,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,inference_comm_mean,inference_comm_std,final_edges_mean,final_edges_std,seeds
DBLP,local_uniform_vote,0.841769027709961,0.013776755790060227,0.8112539761817923,0.02006743000145037,0.0,0.0,0.0,0.0,5
DBLP,local_reliability_vote,0.9090908765792847,0.010932977621246082,0.9004682995651072,0.01409436907124195,0.0,0.0,0.0,0.0,5
DBLP,fixed_ring,0.9100736856460572,0.009962236909892534,0.9011589493810112,0.012980402223902478,486840.0,0.0,15.0,0.0,5
DBLP,random_regular,0.90589679479599,0.013153564164420737,0.895918153469278,0.016528296665693634,480348.8,12982.4,14.8,0.4,5
DBLP,expander,0.9066339015960694,0.01109738180834645,0.8973263492274103,0.014469443371591215,486840.0,0.0,15.0,0.0,5
DBLP,full_mesh,0.9105650901794433,0.006186572917945865,0.9022586732668805,0.007925836550219124,3407880.0,0.0,105.0,0.0,5
DBLP,adaptive_pair,0.9105650901794433,0.011216419112214528,0.901820850243955,0.014371541440363473,480348.8,12982.4,14.8,0.4,5
DBLP,adaptive_complementarity,0.9095822930335998,0.010585091264265526,0.901079906786567,0.012861969312075004,460875.2,12982.4,14.2,0.4,5
DBLP,adaptive_graph_val,0.9174447059631348,0.010721111780925214,0.9109180744185088,0.012336442063622978,175262.4,15900.127818354165,5.4,0.4898979485566356,5
