dataset,seed,method,best_val,test_at_best_val,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,final_edges
IMDB,42,local_uniform_vote,0.3204476237297058,0.2782258093357086,0.17674936806136293,0.2933467626571655,0.28729838132858276,0,0,0
IMDB,42,local_reliability_vote,0.3285859525203705,0.29133063554763794,0.18421884656173282,0.3014112710952759,0.2933467626571655,0,0,0
IMDB,42,fixed_ring,0.33062055706977844,0.29032257199287415,0.18290342025333084,0.3014112710952759,0.2933467626571655,0,739800,15
IMDB,42,random_regular,0.3275686800479889,0.29032257199287415,0.18363475702811746,0.3004032075405121,0.2943548262119293,0,739800,15
IMDB,42,expander,0.33062055706977844,0.29032257199287415,0.18290342025333084,0.3004032075405121,0.2943548262119293,0,739800,15
IMDB,42,full_mesh,0.3285859525203705,0.29032257199287415,0.1831360744458723,0.3014112710952759,0.2943548262119293,0,5178600,105
IMDB,42,adaptive_pair,0.3285859525203705,0.29133063554763794,0.183556597307526,0.3014112710952759,0.2963709533214569,0,690480,14
IMDB,42,adaptive_complementarity,0.32960325479507446,0.28830644488334656,0.18097529720953767,0.3024193346500397,0.2933467626571655,0,690480,14
IMDB,42,adaptive_graph_val,0.3936927914619446,0.38104838132858276,0.25078266582143927,0.3921370804309845,0.3639112710952759,0,246600,5
IMDB,43,local_uniform_vote,0.3082400858402252,0.28830644488334656,0.18218394675559232,0.3145161271095276,0.2832661271095276,0,0,0
IMDB,43,local_reliability_vote,0.31332656741142273,0.3125,0.1982944764086203,0.32056450843811035,0.2963709533214569,0,0,0
IMDB,43,fixed_ring,0.31332656741142273,0.3114919364452362,0.19731343489757874,0.31955644488334656,0.2933467626571655,0,739800,15
IMDB,43,random_regular,0.31332656741142273,0.3145161271095276,0.1983489092402171,0.32056450843811035,0.3004032075405121,0,690480,14
IMDB,43,expander,0.31332656741142273,0.3114919364452362,0.19731343489757874,0.31854838132858276,0.2933467626571655,0,739800,15
IMDB,43,full_mesh,0.31332656741142273,0.3125,0.1982944764086203,0.31854838132858276,0.2963709533214569,0,5178600,105
IMDB,43,adaptive_pair,0.31332656741142273,0.2983870804309845,0.18337508086075557,0.32157257199287415,0.2953628897666931,0,739800,15
IMDB,43,adaptive_complementarity,0.3153611421585083,0.3024193346500397,0.1911490869842043,0.32056450843811035,0.2963709533214569,0,690480,14
IMDB,43,adaptive_graph_val,0.3977619707584381,0.3881048262119293,0.2592802677638846,0.3881048262119293,0.3729838728904724,0,246600,5
IMDB,44,local_uniform_vote,0.29501527547836304,0.28729838132858276,0.11057799983017373,0.30342739820480347,0.2943548262119293,0,0,0
IMDB,44,local_reliability_vote,0.3031536042690277,0.2953628897666931,0.18256739618718384,0.3094758093357086,0.2983870804309845,0,0,0
IMDB,44,fixed_ring,0.3031536042690277,0.28629031777381897,0.17853875062834315,0.3084677457809448,0.2993951439857483,0,739800,15
IMDB,44,random_regular,0.3021363317966461,0.28830644488334656,0.17977527120688092,0.30745968222618103,0.2983870804309845,0,739800,15
IMDB,44,expander,0.3031536042690277,0.28629031777381897,0.17853875062834315,0.30745968222618103,0.3014112710952759,0,739800,15
IMDB,44,full_mesh,0.3031536042690277,0.2953628897666931,0.18256739618718384,0.3094758093357086,0.2993951439857483,0,5178600,105
IMDB,44,adaptive_pair,0.3082400858402252,0.2933467626571655,0.1844296621401546,0.3084677457809448,0.3004032075405121,0,739800,15
