dataset,seed,method,best_val,test_at_best_val,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,final_edges
ACM,42,local_uniform_vote,0.6705297827720642,0.6540362238883972,0.6548026624403694,0.6820428371429443,0.6688632369041443,0,0,0
ACM,42,local_reliability_vote,0.8476821184158325,0.828665554523468,0.8286473751152256,0.8434925675392151,0.8336079120635986,0,0,0
ACM,42,fixed_ring,0.8427152037620544,0.8187808990478516,0.8184559651122091,0.8401976823806763,0.8319604396820068,0,272250,15
ACM,42,random_regular,0.8476821184158325,0.8352553248405457,0.8348631582523169,0.8418450951576233,0.8352553248405457,0,272250,15
ACM,42,expander,0.8443708419799805,0.8253706693649292,0.8252963438699886,0.8451400399208069,0.8369027972221375,0,272250,15
ACM,42,full_mesh,0.8443708419799805,0.8253706693649292,0.8250026348593712,0.8418450951576233,0.8336079120635986,0,1905750,105
ACM,42,adaptive_pair,0.8543046116828918,0.8237231969833374,0.8242423008445147,0.8434925675392151,0.8336079120635986,0,254100,14
ACM,42,adaptive_complementarity,0.8460264801979065,0.8171334266662598,0.8174428033249947,0.8369027972221375,0.830312967300415,0,254100,14
ACM,42,adaptive_graph_val,0.8956953883171082,0.8830313086509705,0.8823631469430339,0.8912684917449951,0.874794065952301,0,90750,5
ACM,43,local_uniform_vote,0.7847682237625122,0.7298187613487244,0.7305371010677769,0.7446457743644714,0.7215815186500549,0,0,0
ACM,43,local_reliability_vote,0.9006622433662415,0.8500823378562927,0.849752233389168,0.8632619380950928,0.8566721677780151,0,0,0
ACM,43,fixed_ring,0.9006622433662415,0.8566721677780151,0.8569691932902866,0.859967052936554,0.8566721677780151,0,272250,15
ACM,43,random_regular,0.8940397500991821,0.8500823378562927,0.8503690107186817,0.8550246953964233,0.8533772230148315,0,254100,14
ACM,43,expander,0.9023178815841675,0.8517298102378845,0.8514390274488194,0.861614465713501,0.8550246953964233,0,272250,15
ACM,43,full_mesh,0.9006622433662415,0.8467874526977539,0.8466389246622691,0.861614465713501,0.8533772230148315,0,1905750,105
ACM,43,adaptive_pair,0.9072847962379456,0.859967052936554,0.8595465710038136,0.8665568232536316,0.859967052936554,0,254100,14
ACM,43,adaptive_complementarity,0.9023178815841675,0.8484349250793457,0.8478207011782329,0.8583195805549622,0.8533772230148315,0,272250,15
ACM,43,adaptive_graph_val,0.9304635524749756,0.8830313086509705,0.8825550317284189,0.8896210789680481,0.8813838362693787,0,90750,5
ACM,44,local_uniform_vote,0.7268211841583252,0.6985172629356384,0.7025720783641849,0.7232289910316467,0.7051070928573608,0,0,0
ACM,44,local_reliability_vote,0.8774834275245667,0.861614465713501,0.862289556758914,0.8665568232536316,0.8467874526977539,0,0,0
ACM,44,fixed_ring,0.8758277893066406,0.8533772230148315,0.8538496516765832,0.8682042360305786,0.8467874526977539,0,272250,15
ACM,44,random_regular,0.8758277893066406,0.8500823378562927,0.8516030179581581,0.8714991807937622,0.8352553248405457,0,272250,15
ACM,44,expander,0.8774834275245667,0.8517298102378845,0.8529725056228928,0.8665568232536316,0.8451400399208069,0,272250,15
ACM,44,full_mesh,0.8758277893066406,0.861614465713501,0.8620643844173257,0.8731465935707092,0.8434925675392151,0,1905750,105
ACM,44,adaptive_pair,0.8791390657424927,0.8665568232536316,0.8670167704109798,0.8665568232536316,0.8418450951576233,0,272250,15
ACM,44,adaptive_complementarity,0.887417197227478,0.8401976823806763,0.8412403635214591,0.861614465713501,0.8401976823806763,0,254100,14
ACM,44,adaptive_graph_val,0.9188741445541382,0.8912684917449951,0.8917631157221425,0.9176276326179504,0.9060955047607422,0,90750,5
ACM,45,local_uniform_vote,0.7682119011878967,0.7462932467460632,0.7494878960381807,0.7462932467460632,0.7462932467460632,0,0,0
ACM,45,local_reliability_vote,0.885761559009552,0.8533772230148315,0.854125266684424,0.8698517084121704,0.859967052936554,0,0,0
ACM,45,fixed_ring,0.887417197227478,0.8665568232536316,0.8679413372512942,0.8731465935707092,0.861614465713501,0,272250,15
ACM,45,random_regular,0.887417197227478,0.8665568232536316,0.8671267449280092,0.8731465935707092,0.861614465713501,0,272250,15
ACM,45,expander,0.885761559009552,0.8583195805549622,0.8596015371212755,0.8714991807937622,0.859967052936554,0,272250,15
ACM,45,full_mesh,0.885761559009552,0.8649093508720398,0.8664071531227545,0.8714991807937622,0.8583195805549622,0,1905750,105
ACM,45,adaptive_pair,0.885761559009552,0.8649093508720398,0.865591438056657,0.8698517084121704,0.8566721677780151,0,272250,15
ACM,45,adaptive_complementarity,0.8907284736633301,0.8665568232536316,0.8676576841565415,0.8731465935707092,0.8566721677780151,0,272250,15
ACM,45,adaptive_graph_val,0.9254966974258423,0.9028006196022034,0.9033859111247109,0.9028006196022034,0.9028006196022034,0,108900,6
ACM,46,local_uniform_vote,0.7417218685150146,0.749588131904602,0.7435521451748633,0.7627676725387573,0.7479406595230103,0,0,0
ACM,46,local_reliability_vote,0.8741722106933594,0.8566721677780151,0.8551130233543572,0.8846787214279175,0.8813838362693787,0,0,0
ACM,46,fixed_ring,0.8675496578216553,0.8500823378562927,0.8493733605475429,0.8714991807937622,0.8566721677780151,0,272250,15
ACM,46,random_regular,0.8509933948516846,0.8451400399208069,0.8436358049165197,0.8566721677780151,0.8451400399208069,0,272250,15
ACM,46,expander,0.8725165724754333,0.874794065952301,0.8743575605680869,0.8797363638877869,0.8797363638877869,0,272250,15
ACM,46,full_mesh,0.8675496578216553,0.8665568232536316,0.8663637442281221,0.8665568232536316,0.859967052936554,0,1905750,105
ACM,46,adaptive_pair,0.8807947039604187,0.8780889511108398,0.8778106101178608,0.8912684917449951,0.8731465935707092,0,272250,15
ACM,46,adaptive_complementarity,0.8576158881187439,0.861614465713501,0.8605916206654248,0.861614465713501,0.861614465713501,0,254100,14
ACM,46,adaptive_graph_val,0.9254966974258423,0.8912684917449951,0.8917944898830211,0.9126853346824646,0.8912684917449951,0,90750,5
