party,private_view,model_family,hidden_dim,graph_based,num_parameters,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_f1_mean,test_f1_std
rating_interaction_mf,train rating interaction graph,matrix factorization,64,True,651970,0.6876176003039361,0.0016489735753701905,0.7460477101691507,0.0011918311568086528,0.6877275772087861,0.0009491088562822995,0.742081188197263,0.0012264331530371661,0.737250843855499,0.002211813300699082
user_profile_mlp,"age, gender, occupation",MLP + embedding,32,False,130402,0.680289139280751,0.0009564474617687426,0.7362716448878629,0.0004535045984611614,0.6776187000729846,0.0009117537055124649,0.7271535473725158,0.0006332438533549072,0.7368593957138782,0.0019353844132140338
popularity_temporal_mlp,train-only popularity and temporal statistics,MLP,16,False,162,0.682194739104788,0.007286622936005062,0.7429564100324397,0.001731146427602112,0.6706601613661132,0.009009932035947257,0.7269158332469539,0.00585657844831759,0.7011026903895877,0.019263572631355808
movie_metadata_mlp,genres and release year,metadata MLP + embedding,128,False,825218,0.6321912398396337,0.004523338330263908,0.6844005570122408,0.0027126377857514773,0.6398436328371042,0.003915601602663269,0.6865856756092311,0.002570143977501717,0.7237106384014131,0.0061082988951187975
genre_knn_mlp,genre semantic KNN graph,KNN-smoothed MLP,48,True,297938,0.6278821447496026,0.002987365959700537,0.672945752603461,0.0022401541972867597,0.6358004818988012,0.0019336451230918018,0.6775183506187468,0.0022418572198484705,0.7195171290926593,0.0055050514800524305
