mean_diff,std_diff,ci95_low,ci95_high,cohens_dz,paired_t_p,wilcoxon_p,comparison,baseline,auc_diff_mean,communication_reduction_mean,communication_reduction_std
0.0019051463803384295,0.0012310986244746212,0.0008260408574963876,0.0029842519031804716,1.5475172682866591,0.02580943842716812,0.0625,TA-DVFG vs Full Mesh,full_mesh,0.0019051463803384295,0.68,0.050596442562694056
0.0006599338086341611,0.001138211127996853,-0.0003377522337053283,0.0016576198509736504,0.5797991184601964,0.264550731494098,0.3125,TA-DVFG vs Adaptive Pairwise,adaptive_pair,0.0006599338086341611,0.3846153846153846,0.09730085108210398
0.0029321026051255085,0.0016382395976277618,0.0014961222844642977,0.0043680829257867195,1.789788630046126,0.0161020917105288,0.0625,TA-DVFG vs Global Top-k,topk_reliability_vote,0.0029321026051255085,-3.0,0.6324555320336759
