dataset,setting,seed,party,max_logit_diff,max_probability_diff,val_prediction_disagreement_count,test_prediction_disagreement_count,val_metric_diff,test_metric_diff,status
ACM,hard,44,5,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.6791349649429321,383,404,0.014900654554367065,0.023064255714416504,MISMATCH
ACM,hard,44,6,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.999995768070221,395,396,0.039735108613967896,0.0016474425792694092,MISMATCH
ACM,hard,44,7,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999285936355591,387,407,0.03807947039604187,0.021416813135147095,MISMATCH
ACM,hard,44,8,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999917149543762,193,202,0.024834424257278442,0.011532127857208252,MISMATCH
ACM,hard,44,9,UNAVAILABLE_CACHE_HAS_NO_LOGITS,1.0,223,206,0.00827816128730774,0.023064255714416504,MISMATCH
ACM,hard,44,10,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9994761347770691,411,399,0.44039735198020935,0.392092227935791,MISMATCH
ACM,hard,44,11,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999079704284668,387,415,0.48509934544563293,0.522240549325943,MISMATCH
ACM,hard,44,12,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999749064445496,401,416,0.023178815841674805,0.009884685277938843,MISMATCH
ACM,hard,44,13,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999501705169678,401,387,0.01655629277229309,0.0032948851585388184,MISMATCH
ACM,hard,44,14,UNAVAILABLE_CACHE_HAS_NO_LOGITS,1.0,397,395,0.008278131484985352,0.008237242698669434,MISMATCH
ACM,hard,45,0,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9993773698806763,392,402,0.4817880690097809,0.48270177841186523,MISMATCH
ACM,hard,45,1,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9943320155143738,423,391,0.4039735198020935,0.3228995203971863,MISMATCH
