dataset,setting,seed,method,interface_type,d_ref,selected_by,best_val,test_at_best_val,macro_f1,best_epoch,first_loss,best_loss,param_count,source
ACM,hard,45,Reliability-Selected Project-and-Mean,centralized stronger-information latent-alignment reference,32,validation_accuracy,0.8013244867324829,0.7594727873802185,0.7605733597580594,91,1.1267296075820923,0.08942236006259918,10819,fresh_hidden_export
ACM,hard,45,Reliability-Selected Gated Fusion,centralized stronger-information latent-alignment reference,128,validation_accuracy,0.5480132699012756,0.5387150049209595,0.4497768510477235,5,1.098488211631775,1.052594780921936,42632,fresh_hidden_export
ACM,hard,45,Useful-Only best latent fusion,diagnostic oracle: known useful parties only,64,validation_accuracy_over_oracle_candidates,0.8956953883171082,0.8995057940483093,0.9006239806543318,104,1.117647409439087,0.21380816400051117,13059,fresh_hidden_export_known_useful_only
ACM,hard,46,Best Single,fresh prediction-space within-suite reference,N/A,fresh_final_predictor_cache,0.8427152037620544,0.8418451547622681,0.8416309944785656,fresh_final,N/A,N/A,0,outputs\alignment_references_acmhard5\fresh_within_suite_cache\acm_hard_seed46_fresh_final.pt
ACM,hard,46,Global Top-k Reliability,fresh prediction-space within-suite reference,N/A,fresh_final_predictor_cache,0.9023178815841675,0.8780889511108398,0.8781110494929601,fresh_final,N/A,N/A,0,outputs\alignment_references_acmhard5\fresh_within_suite_cache\acm_hard_seed46_fresh_final.pt
ACM,hard,46,Full Mesh prediction consensus,fresh prediction-space within-suite reference,N/A,fresh_final_predictor_cache,0.804635763168335,0.8072487711906433,0.8068693578706094,fresh_final,N/A,N/A,0,outputs\alignment_references_acmhard5\fresh_within_suite_cache\acm_hard_seed46_fresh_final.pt
ACM,hard,46,TA-DVFG,fresh prediction-space within-suite reference,N/A,fresh_final_predictor_cache,0.8990066051483154,0.8764415383338928,0.8767193169599062,fresh_final,N/A,N/A,0,outputs\alignment_references_acmhard5\fresh_within_suite_cache\acm_hard_seed46_fresh_final.pt
ACM,hard,46,Project-and-Mean,centralized stronger-information latent-alignment reference,32,validation_accuracy,0.5844370722770691,0.607907772064209,0.6117957786330387,194,1.127219557762146,0.058761585503816605,32259,fresh_hidden_export
ACM,hard,46,Project-and-Concat,centralized stronger-information latent-alignment reference,32,validation_accuracy,0.43377482891082764,0.4398682117462158,0.4284445718244661,41,1.1026495695114136,0.5061484575271606,62179,fresh_hidden_export
ACM,hard,46,Gated Fusion,centralized stronger-information latent-alignment reference,64,validation_accuracy,0.41225165128707886,0.4102141559123993,0.4048625509921508,14,1.1039704084396362,0.9819633960723877,63570,fresh_hidden_export
ACM,hard,46,Reliability-Selected Project-and-Mean,centralized stronger-information latent-alignment reference,64,validation_accuracy,0.7913907170295715,0.7742998600006104,0.7763081589619905,178,1.1629329919815063,0.05316901206970215,21635,fresh_hidden_export
ACM,hard,46,Reliability-Selected Gated Fusion,centralized stronger-information latent-alignment reference,32,validation_accuracy,0.5662251710891724,0.5848435163497925,0.5799251126237629,73,1.108006238937378,0.9960264563560486,10664,fresh_hidden_export
ACM,hard,46,Useful-Only best latent fusion,diagnostic oracle: known useful parties only,32,validation_accuracy_over_oracle_candidates,0.9139072895050049,0.8978583216667175,0.8981609649990112,187,1.1847864389419556,0.311899870634079,6531,fresh_hidden_export_known_useful_only
