dataset,setting,seed,method,d_ref,lr,weight_decay,epoch,train_loss,val_metric,selected_run
ACM,hard,42,Project-and-Mean,32,0.001,0.0,55,0.08229890465736389,0.5331125855445862,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,56,0.08018895238637924,0.5364238619804382,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,57,0.07817663997411728,0.5380794405937195,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,58,0.07625216245651245,0.5380794405937195,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,59,0.07440472394227982,0.5380794405937195,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,60,0.07262604683637619,0.5380794405937195,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,61,0.07091236114501953,0.5397350788116455,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,62,0.06926202774047852,0.5397350788116455,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,63,0.06767312437295914,0.5413907170295715,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,64,0.06614594161510468,0.5397350788116455,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,65,0.06467774510383606,0.5413907170295715,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,66,0.06326630711555481,0.5430463552474976,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,67,0.061908695846796036,0.5430463552474976,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,68,0.0605999231338501,0.5496688485145569,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,69,0.05933740735054016,0.5480132699012756,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,70,0.05811762064695358,0.5480132699012756,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,71,0.05693814158439636,0.5463576316833496,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,72,0.05579675734043121,0.5463576316833496,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,73,0.054691627621650696,0.5463576316833496,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,74,0.05362009257078171,0.5480132699012756,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,75,0.05258181691169739,0.5480132699012756,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,76,0.051575660705566406,0.5480132699012756,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,77,0.05060074105858803,0.5496688485145569,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,78,0.04965575039386749,0.5496688485145569,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,79,0.048740096390247345,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,80,0.047852616757154465,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,81,0.04699181392788887,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,82,0.04615679010748863,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,83,0.0453467033803463,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,84,0.04456024244427681,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,85,0.0437961108982563,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,86,0.043053463101387024,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,87,0.04233153536915779,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,88,0.041629623621702194,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,89,0.04094671085476875,0.5513244867324829,False
