dataset,seed,method,adaptive_min_edges,best_val,test_at_best_val,macro_f1,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,final_edges,topology_update_comm,topology_eval_count,topology_update_time,useful_useful_edges,useful_noisy_edges,noisy_noisy_edges,selected_edges,useful_party_mask,party_view_names,party_reliabilities,party_permutation,prediction_cache_path,prediction_cache_fingerprint
DBLP,42,adaptive_graph_val,3,0.9185185432434082,0.8918918967247009,0.8802331543513441,0.8802331543513441,0.8943488597869873,0.8845208883285522,0,97368,3,729000,5940,31.97245379994274,1,1,1,"[[2,8],[4,7],[4,8]]","[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""APCPA"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""APTPA"", ""RANDOM"", ""APA"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.2716049551963806, 0.28024691343307495, 0.8913580775260925, 0.2679012417793274, 0.2716049551963806, 0.2814815044403076, 0.4654321074485779, 0.25925928354263306, 0.5111111402511597, 0.2419753223657608, 0.26419752836227417, 0.2617284059524536, 0.25061729550361633, 0.30987656116485596, 0.24938273429870605]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\dblp_hard_useful3_seed42_party_preds.pt,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260
DBLP,43,adaptive_graph_val,3,0.9283950924873352,0.9164618849754333,0.9091373853515751,0.9091373853515751,0.9250614047050476,0.9090908765792847,0,97368,3,729000,6174,31.823389000084717,0,2,1,"[[7,10],[9,10],[9,12]]","[false, false, false, false, false, false, false, true, false, false, false, true, true, false, false]","[""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""APCPA"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""APA"", ""APTPA"", ""RANDOM"", ""RANDOM""]","[0.2814815044403076, 0.2839506268501282, 0.2617284059524536, 0.25432100892066956, 0.2777777910232544, 0.2716049551963806, 0.2567901313304901, 0.914814829826355, 0.2765432298183441, 0.2530864179134369, 0.25432100892066956, 0.47160497307777405, 0.4543209969997406, 0.25925928354263306, 0.24567902088165283]","[8, 4, 9, 13, 6, 3, 12, 1, 14, 11, 7, 0, 2, 10, 5]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\dblp_hard_useful3_seed43_party_preds.pt,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4
DBLP,44,adaptive_graph_val,3,0.8950617909431458,0.8955773711204529,0.8916483243591844,0.8916483243591844,0.898034393787384,0.8918918967247009,0,129824,4,729000,6050,31.71980699998676,1,3,0,"[[5,6],[5,11],[10,12],[11,14]]","[false, false, false, false, false, true, false, false, false, false, true, true, false, false, false]","[""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""APCPA"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""APTPA"", ""APA"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.26049384474754333, 0.24320988357067108, 0.25925928354263306, 0.29629629850387573, 0.24938273429870605, 0.8777778148651123, 0.2666666805744171, 0.2469135969877243, 0.2777777910232544, 0.2777777910232544, 0.48148149251937866, 0.4777778089046478, 0.2765432298183441, 0.25432100892066956, 0.2765432298183441]","[6, 11, 10, 4, 7, 1, 12, 14, 8, 9, 2, 0, 5, 3, 13]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\dblp_hard_useful3_seed44_party_preds.pt,2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6
DBLP,45,adaptive_graph_val,3,0.9160494208335876,0.9078623652458191,0.901137912758792,0.901137912758792,0.914004921913147,0.9029483795166016,0,97368,3,729000,6018,30.249485399923287,1,1,1,"[[5,8],[8,13],[10,13]]","[false, false, false, false, true, true, false, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""APTPA"", ""APCPA"", ""RANDOM"", ""RANDOM"", ""APA"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.26419752836227417, 0.26049384474754333, 0.22469136118888855, 0.2679012417793274, 0.4901234805583954, 0.8962963223457336, 0.26419752836227417, 0.2530864179134369, 0.46049386262893677, 0.27530866861343384, 0.2765432298183441, 0.2617284059524536, 0.26049384474754333, 0.2567901313304901, 0.2617284059524536]","[10, 13, 11, 14, 2, 1, 5, 12, 0, 9, 8, 3, 4, 7, 6]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\dblp_hard_useful3_seed45_party_preds.pt,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9
DBLP,46,adaptive_graph_val,3,0.9111111760139465,0.9066339135169983,0.9010514534738158,0.9010514534738158,0.9103193879127502,0.8968058824539185,0,97368,3,729000,5868,29.43343829998048,1,1,1,"[[2,4],[2,7],[5,6]]","[false, false, true, false, true, false, false, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""APA"", ""RANDOM"", ""APCPA"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""APTPA"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.24814815819263458, 0.23827160894870758, 0.48641976714134216, 0.29506173729896545, 0.8987654447555542, 0.2716049551963806, 0.2567901313304901, 0.24444445967674255, 0.48271608352661133, 0.2629629671573639, 0.27037039399147034, 0.2876543402671814, 0.24320988357067108, 0.2617284059524536, 0.27037039399147034]","[4, 9, 0, 5, 1, 8, 11, 12, 2, 14, 13, 7, 10, 6, 3]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\dblp_hard_useful3_seed46_party_preds.pt,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59
