dataset,weak_count,method,seeds,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,selected_links_mean,selected_links_std,peer_communication_mean,peer_communication_std,readout_communication_mean,readout_communication_std,topology_control_communication_mean,topology_control_communication_std,total_communication_mean,total_communication_std,candidate_evaluations_mean,candidate_evaluations_std,topology_time_seconds_mean,topology_time_seconds_std
ACM,15,adaptive_graph_val,5,0.8425041079521179,0.017391301062795787,0.8425667610184355,0.01810996297507378,5.0,0.0,90750.0,0.0,54450.0,5739.533953205609,9784800.0,0.0,145200.0,5739.533953205609,228901.8,1584.2771727194709,5188.532263839984,6193.586931229721
ACM,15,adaptive_pair,5,0.7413508892059326,0.03384290221816963,0.7406107536760305,0.033742917370498476,15.0,0.0,272250.0,0.0,143385.0,3630.0,9784800.0,0.0,415635.0,3630.0,0.0,0.0,91.07784021996667,8.084145833098663
ACM,15,full_mesh,5,0.7166391849517822,0.03507165859772747,0.715222238119295,0.0347969591650754,153.0,0.0,2776950.0,0.0,163350.0,0.0,0.0,0.0,2940300.0,0.0,0.0,0.0,0.0,0.0
ACM,15,random_matched,5,0.6141680181026459,0.10898775892343697,0.6137550956545288,0.1083233583072587,5.0,0.0,90750.0,0.0,76230.0,4445.823883151468,0.0,0.0,166980.0,4445.823883151468,0.0,0.0,0.0,0.0
ACM,15,single_party_best,5,0.8200988411903382,0.013955733742992093,0.8212000877407013,0.013798382584908193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACM,15,topk_reliability_vote,5,0.8500823616981507,0.012416116592106875,0.8501145182714096,0.012815905981143386,0.0,0.0,0.0,0.0,45375.0,0.0,0.0,0.0,45375.0,0.0,0.0,0.0,0.0,0.0
DBLP,0,adaptive_complementarity,5,0.8931203842163086,0.014473400871624803,0.8831752543412037,0.014940949054478136,3.0,0.0,97368.0,0.0,48684.0,0.0,2916000.0,0.0,146052.0,0.0,0.0,0.0,1.490206939984637,0.47259511108792085
DBLP,0,adaptive_graph_val,5,0.8931203842163086,0.014473400871624803,0.8831752543412037,0.014940949054478136,3.0,0.0,97368.0,0.0,48684.0,0.0,2916000.0,0.0,146052.0,0.0,1800.0,0.0,5.545404879978742,2.4122918123207597
DBLP,0,adaptive_pair,5,0.8931203842163086,0.014473400871624803,0.8831752543412037,0.014940949054478136,3.0,0.0,97368.0,0.0,48684.0,0.0,2916000.0,0.0,146052.0,0.0,0.0,0.0,1.659693160011375,0.4779956630129191
DBLP,0,full_mesh,5,0.8931203842163086,0.014473400871624803,0.8831752543412037,0.014940949054478136,3.0,0.0,97368.0,0.0,48684.0,0.0,0.0,0.0,146052.0,0.0,0.0,0.0,0.0,0.0
