dataset,method,test_at_best_val_mean,test_at_best_val_std,final_edges_mean
ACM,adaptive_complementarity,0.7673805475234985,0.051854014568489724,14.4
ACM,adaptive_graph_val,0.8553541898727417,0.029085707022040122,5.0
ACM,adaptive_pair,0.7640856623649597,0.0457058702087807,14.4
DBLP,adaptive_complementarity,0.8732186555862427,0.016003574302470625,14.2
DBLP,adaptive_graph_val,0.9024569869041443,0.011412513215862362,5.0
DBLP,adaptive_pair,0.8791154623031616,0.013390088037042764,14.6
