dataset,setting,param_readout_mode,test_at_best_val_mean,test_at_best_val_std,macro_f1_at_best_val_mean,macro_f1_at_best_val_std
ACM,hard_noisy,active_vote,0.8570016264915467,0.011730474593837612,0.8575470952412868,0.011235121292851933
ACM,hard_noisy,best_party,0.8500823497772216,0.027763267453184807,0.850380215431791,0.027471294559636053
ACM,hard_noisy,mean_party,0.626029634475708,0.00605310271640332,0.6254992708343156,0.004367150277900949
ACM,main,active_vote,0.891268503665924,0.01105140078084166,0.8912335855732628,0.011675163101207605
ACM,main,best_party,0.8652388453483582,0.025823414747009964,0.8654867653493368,0.026090483083316292
ACM,main,mean_party,0.7406919121742248,0.01503606852064522,0.7413197384204488,0.013322822075536237
DBLP,hard_noisy,active_vote,0.8987714767456054,0.011543996602044604,0.8903552313927786,0.013590895489365257
DBLP,hard_noisy,best_party,0.8948402762413025,0.013833601032873403,0.8860292695747216,0.014192617185187788
DBLP,hard_noisy,mean_party,0.6783783674240113,0.020249782230365623,0.5942346136724239,0.023134188833165276
DBLP,main,active_vote,0.9137592077255249,0.013327976311233704,0.9075687265457709,0.014986086059169613
DBLP,main,best_party,0.898034393787384,0.013541405743395732,0.8887481065924518,0.01419329094888703
DBLP,main,mean_party,0.8643734455108643,0.018296010243550622,0.8408015154911277,0.024510990649886547
