dataset,setting,param_validation_evaluator,param_active_party_id,test_at_best_val_mean,test_at_best_val_std,topology_update_comm_mean,topology_update_time_mean
ACM,hard_noisy,active_party,0,0.8507413268089294,0.01958313877109763,407700.0,23.68181938001653
ACM,hard_noisy,all_parties,0,0.8537067294120788,0.016367034019216183,407700.0,25.07390281999833
ACM,main,active_party,0,0.8935749292373657,0.008037105260302931,407700.0,25.91085467999801
ACM,main,all_parties,0,0.8965403437614441,0.015775965819979653,407700.0,25.809282299980985
DBLP,hard_noisy,active_party,0,0.8918918609619141,0.007057192874140433,729000.0,23.812382080015958
DBLP,hard_noisy,all_parties,0,0.8941031575202942,0.007131658234011398,729000.0,26.735764699976425
DBLP,main,active_party,0,0.9105651021003723,0.008918285192661296,729000.0,27.48942783997627
DBLP,main,all_parties,0,0.9162161946296692,0.012080611799893176,729000.0,26.26629438000382
