job_id,suite,setting,dataset,method,best_val_mean,best_val_std,best_val_count,test_at_best_val_mean,test_at_best_val_std,test_at_best_val_count,macro_f1_at_best_val_mean,macro_f1_at_best_val_std,macro_f1_at_best_val_count,best_observed_test_mean,best_observed_test_std,best_observed_test_count,final_test_mean,final_test_std,final_test_count,train_comm_mean,train_comm_std,train_comm_count,inference_comm_mean,inference_comm_std,inference_comm_count,final_edges_mean,final_edges_std,final_edges_count,topology_update_comm_mean,topology_update_comm_std,topology_update_comm_count,topology_eval_count_mean,topology_eval_count_std,topology_eval_count_count,topology_update_time_mean,topology_update_time_std,topology_update_time_count,useful_useful_edges_mean,useful_useful_edges_std,useful_useful_edges_count,useful_noisy_edges_mean,useful_noisy_edges_std,useful_noisy_edges_count,noisy_noisy_edges_mean,noisy_noisy_edges_std,noisy_noisy_edges_count,param_dataset,param_graph_views,param_num_parties,param_view_setting,param_useful_parties,param_epochs,param_seeds,param_methods,param_adaptive_edge_budget,param_adaptive_min_edges,param_adaptive_min_gain,param_max_degree,param_pred_consensus_steps,param_pred_self_weight,param_vote_weighting,param_reliability_power,param_topology_degree_power,param_final_reliability_floor,param_topk_reliability_k,param_matched_edge_count,param_readout_mode,param_validation_evaluator,param_active_party_id,param_device,param_shuffle_party_positions,param_party_shuffle_seed_offset,param_cache_predictions,param_reuse_prediction_cache,param_cache_dir,param_skip_local_training_if_cache_exists,param_modality_setting,param_modalities,param_modality_dim,param_ignore_dataset_split
multimodal_core/dblp_main_mixed,multimodal_core,main,DBLP,adaptive_pair,0.9271605372428894,0.012252733169189003,5,0.914004898071289,0.011686932793119198,5,0.9065817865695832,0.01283570497156954,5,0.9201474070549012,0.011622166548463696,5,0.9120392799377441,0.01341825040045598,5,0.0,0.0,5,467366.4,17776.883326387673,5,14.4,0.5477225575051662,5,729000.0,0.0,5,0.0,0.0,5,5.136966379964724,0.19325223755254042,5,6.0,0.0,5,0.0,0.0,5,8.4,0.5477225575051662,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,6,300,"42,43,44,45,46","local_uniform_vote,local_reliability_vote,topk_reliability_vote,fixed_ring,fixed_ring_matched,random_regular,random_matched,expander,expander_matched,full_mesh,adaptive_pair,adaptive_complementarity,adaptive_graph_val",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,True,2026.0,True,True,results/multimodal_cache_v3,,multimodal,"ATTR,TEXT,STRUCT,HYBRID",64.0,
multimodal_core/dblp_main_mixed,multimodal_core,main,DBLP,expander,0.9254321336746216,0.01173165291595841,5,0.9135134935379028,0.011929762147744405,5,0.9056954563821916,0.013166441180404994,5,0.9194103121757508,0.012455823486420908,5,0.9105650782585144,0.012867047057425028,5,0.0,0.0,5,486840.0,0.0,5,15.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2.4,0.8944271909999159,5,7.2,1.7888543819998317,5,5.4,0.8944271909999159,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,6,300,"42,43,44,45,46","local_uniform_vote,local_reliability_vote,topk_reliability_vote,fixed_ring,fixed_ring_matched,random_regular,random_matched,expander,expander_matched,full_mesh,adaptive_pair,adaptive_complementarity,adaptive_graph_val",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,True,2026.0,True,True,results/multimodal_cache_v3,,multimodal,"ATTR,TEXT,STRUCT,HYBRID",64.0,
multimodal_core/dblp_main_mixed,multimodal_core,main,DBLP,expander_matched,0.8244444847106933,0.11693710134397216,5,0.8196559906005859,0.11346989404456032,5,0.8102063526744819,0.11385480436039272,5,0.8285012125968934,0.10697346988631114,5,0.8194103121757508,0.10883509033496577,5,0.0,0.0,5,162280.0,0.0,5,5.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.4,0.5477225575051661,5,2.6,1.140175425099138,5,2.0,1.0,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,6,300,"42,43,44,45,46","local_uniform_vote,local_reliability_vote,topk_reliability_vote,fixed_ring,fixed_ring_matched,random_regular,random_matched,expander,expander_matched,full_mesh,adaptive_pair,adaptive_complementarity,adaptive_graph_val",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,True,2026.0,True,True,results/multimodal_cache_v3,,multimodal,"ATTR,TEXT,STRUCT,HYBRID",64.0,
multimodal_core/dblp_main_mixed,multimodal_core,main,DBLP,fixed_ring,0.9254321336746216,0.01173165291595841,5,0.9135134935379028,0.011929762147744405,5,0.9056954563821916,0.013166441180404994,5,0.9194103121757508,0.012455823486420908,5,0.9105650782585144,0.012867047057425028,5,0.0,0.0,5,486840.0,0.0,5,15.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2.4,0.8944271909999159,5,7.2,1.7888543819998317,5,5.4,0.8944271909999159,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,6,300,"42,43,44,45,46","local_uniform_vote,local_reliability_vote,topk_reliability_vote,fixed_ring,fixed_ring_matched,random_regular,random_matched,expander,expander_matched,full_mesh,adaptive_pair,adaptive_complementarity,adaptive_graph_val",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,True,2026.0,True,True,results/multimodal_cache_v3,,multimodal,"ATTR,TEXT,STRUCT,HYBRID",64.0,
multimodal_core/dblp_main_mixed,multimodal_core,main,DBLP,fixed_ring_matched,0.68814817070961,0.21885062555194032,5,0.6732186555862427,0.2201417970072193,5,0.6444555057937988,0.24272581659969442,5,0.6835380792617798,0.2189570446464818,5,0.6604422390460968,0.22866891671352568,5,0.0,0.0,5,162280.0,0.0,5,5.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.8,0.4472135954999579,5,2.0,1.0,5,2.2,0.8366600265340756,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,6,300,"42,43,44,45,46","local_uniform_vote,local_reliability_vote,topk_reliability_vote,fixed_ring,fixed_ring_matched,random_regular,random_matched,expander,expander_matched,full_mesh,adaptive_pair,adaptive_complementarity,adaptive_graph_val",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,True,2026.0,True,True,results/multimodal_cache_v3,,multimodal,"ATTR,TEXT,STRUCT,HYBRID",64.0,
multimodal_core/dblp_main_mixed,multimodal_core,main,DBLP,full_mesh,0.9269136190414429,0.012234055636858495,5,0.9144962906837464,0.011802565892557888,5,0.9071228659891679,0.012990430088717047,5,0.9196560144424438,0.011178684765357905,5,0.9115478754043579,0.013030222242960212,5,0.0,0.0,5,3407880.0,0.0,5,105.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,15.0,0.0,5,54.0,0.0,5,36.0,0.0,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,6,300,"42,43,44,45,46","local_uniform_vote,local_reliability_vote,topk_reliability_vote,fixed_ring,fixed_ring_matched,random_regular,random_matched,expander,expander_matched,full_mesh,adaptive_pair,adaptive_complementarity,adaptive_graph_val",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,True,2026.0,True,True,results/multimodal_cache_v3,,multimodal,"ATTR,TEXT,STRUCT,HYBRID",64.0,
multimodal_core/dblp_main_mixed,multimodal_core,main,DBLP,local_reliability_vote,0.9271605372428894,0.011809321564432994,5,0.9142505884170532,0.012142915613189198,5,0.9068367883894005,0.01331657047396851,5,0.9196560144424438,0.011178684765357905,5,0.9117935776710511,0.01332796614725994,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,6,300,"42,43,44,45,46","local_uniform_vote,local_reliability_vote,topk_reliability_vote,fixed_ring,fixed_ring_matched,random_regular,random_matched,expander,expander_matched,full_mesh,adaptive_pair,adaptive_complementarity,adaptive_graph_val",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,True,2026.0,True,True,results/multimodal_cache_v3,,multimodal,"ATTR,TEXT,STRUCT,HYBRID",64.0,
multimodal_core/dblp_main_mixed,multimodal_core,main,DBLP,local_uniform_vote,0.8755555868148803,0.014087058686996088,5,0.859950852394104,0.012068095267443154,5,0.842834093163526,0.014060450694363314,5,0.8685503482818604,0.009904497390120007,5,0.8506142258644104,0.012576395007129287,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,6,300,"42,43,44,45,46","local_uniform_vote,local_reliability_vote,topk_reliability_vote,fixed_ring,fixed_ring_matched,random_regular,random_matched,expander,expander_matched,full_mesh,adaptive_pair,adaptive_complementarity,adaptive_graph_val",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,True,2026.0,True,True,results/multimodal_cache_v3,,multimodal,"ATTR,TEXT,STRUCT,HYBRID",64.0,
multimodal_core/dblp_main_mixed,multimodal_core,main,DBLP,random_matched,0.9165432691574097,0.012547731938527892,5,0.9017198801040649,0.016088211191645514,5,0.8929404939394523,0.01794085594677647,5,0.907862389087677,0.01627474812426221,5,0.8992628812789917,0.017738988902430974,5,0.0,0.0,5,162280.0,0.0,5,5.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,1.2,0.8366600265340756,5,2.4,0.5477225575051661,5,1.4,1.140175425099138,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,6,300,"42,43,44,45,46","local_uniform_vote,local_reliability_vote,topk_reliability_vote,fixed_ring,fixed_ring_matched,random_regular,random_matched,expander,expander_matched,full_mesh,adaptive_pair,adaptive_complementarity,adaptive_graph_val",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,True,2026.0,True,True,results/multimodal_cache_v3,,multimodal,"ATTR,TEXT,STRUCT,HYBRID",64.0,
multimodal_core/dblp_main_mixed,multimodal_core,main,DBLP,random_regular,0.9266667127609253,0.011731627198967143,5,0.9135135054588318,0.012576386273575504,5,0.9058548463175425,0.014126603997878833,5,0.9194103002548217,0.012241943326960181,5,0.9098280072212219,0.01281417217743222,5,0.0,0.0,5,480348.8,14514.76445554664,5,14.8,0.44721359549995804,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2.4,0.5477225575051662,5,7.0,1.0,5,5.4,0.5477225575051661,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,6,300,"42,43,44,45,46","local_uniform_vote,local_reliability_vote,topk_reliability_vote,fixed_ring,fixed_ring_matched,random_regular,random_matched,expander,expander_matched,full_mesh,adaptive_pair,adaptive_complementarity,adaptive_graph_val",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,True,2026.0,True,True,results/multimodal_cache_v3,,multimodal,"ATTR,TEXT,STRUCT,HYBRID",64.0,
