dataset,adaptive_min_edges,method,test_at_best_val_mean,test_at_best_val_std,test_at_best_val_count,macro_f1_at_best_val_mean,macro_f1_at_best_val_std,macro_f1_at_best_val_count,inference_comm_mean,inference_comm_std,inference_comm_count,final_edges_mean,final_edges_std,final_edges_count,useful_useful_edges_mean,useful_useful_edges_std,useful_useful_edges_count,useful_noisy_edges_mean,useful_noisy_edges_std,useful_noisy_edges_count,noisy_noisy_edges_mean,noisy_noisy_edges_std,noisy_noisy_edges_count,topology_eval_count_mean,topology_eval_count_std,topology_eval_count_count,topology_update_comm_mean,topology_update_comm_std,topology_update_comm_count,topology_update_time_mean,topology_update_time_std,topology_update_time_count
DBLP,0,adaptive_graph_val,0.9022112846374511,0.00992730879007386,5,0.8949503124095987,0.010869749438769578,5,97368.0,22949.857690190587,5,3.0,0.7071067811865476,5,0.8,0.4472135954999579,5,1.4,1.1401754250991378,5,0.8,0.4472135954999579,5,4997.4,190.2401114381506,5,729000.0,0.0,5,25.534334680007305,1.1903627777438606,5
DBLP,1,adaptive_graph_val,0.9022112846374511,0.00992730879007386,5,0.8949503124095987,0.010869749438769578,5,97368.0,22949.857690190587,5,3.0,0.7071067811865476,5,0.8,0.4472135954999579,5,1.4,1.1401754250991378,5,0.8,0.4472135954999579,5,4997.4,190.2401114381506,5,729000.0,0.0,5,25.212925960018765,2.0820554372129783,5
DBLP,3,adaptive_graph_val,0.9036854863166809,0.009927313215706723,5,0.8966416460589424,0.01106772535186763,5,103859.2,14514.764455546634,5,3.2,0.4472135954999579,5,0.8,0.4472135954999579,5,1.6,0.8944271909999159,5,0.8,0.4472135954999579,5,6010.0,115.78428218026833,5,729000.0,0.0,5,31.039714699983598,1.1348193020957067,5
DBLP,5,adaptive_graph_val,0.9024569869041443,0.011412513215862362,5,0.8953847599699282,0.012701452682714122,5,162280.0,0.0,5,5.0,0.0,5,1.0,0.0,5,2.4,0.5477225575051661,5,1.6,0.5477225575051661,5,7637.0,75.50496672405065,5,729000.0,0.0,5,39.390309360018,0.9230334763375633,5
