dataset,adaptive_min_edges,method,test_at_best_val_mean,test_at_best_val_std,test_at_best_val_count,macro_f1_at_best_val_mean,macro_f1_at_best_val_std,macro_f1_at_best_val_count,inference_comm_mean,inference_comm_std,inference_comm_count,final_edges_mean,final_edges_std,final_edges_count,useful_useful_edges_mean,useful_useful_edges_std,useful_useful_edges_count,useful_noisy_edges_mean,useful_noisy_edges_std,useful_noisy_edges_count,noisy_noisy_edges_mean,noisy_noisy_edges_std,noisy_noisy_edges_count,topology_eval_count_mean,topology_eval_count_std,topology_eval_count_count,topology_update_comm_mean,topology_update_comm_std,topology_update_comm_count,topology_update_time_mean,topology_update_time_std,topology_update_time_count
ACM,0,adaptive_graph_val,0.884349238872528,0.014661366307580883,5,0.8848433680908852,0.014504186691518385,5,47190.0,9941.164418718765,5,2.6,0.5477225575051661,5,1.8,0.4472135954999579,5,0.8,0.4472135954999579,5,0.0,0.0,5,4930.8,358.89302027205827,5,407700.0,0.0,5,13.658055119984784,5.209307291646791,5
ACM,1,adaptive_graph_val,0.884349238872528,0.014661366307580883,5,0.8848433680908852,0.014504186691518385,5,47190.0,9941.164418718765,5,2.6,0.5477225575051661,5,1.8,0.4472135954999579,5,0.8,0.4472135954999579,5,0.0,0.0,5,4930.8,358.89302027205827,5,407700.0,0.0,5,27.931940099963686,2.4318280312596703,5
ACM,3,adaptive_graph_val,0.8794069170951844,0.020688407394773366,5,0.8802688068164113,0.020260280306012846,5,61710.0,9941.164418718765,5,3.4,0.5477225575051661,5,2.0,0.0,5,1.4,0.5477225575051661,5,0.0,0.0,5,5892.4,72.39682313472059,5,407700.0,0.0,5,33.52484571997193,1.8136187136800457,5
ACM,5,adaptive_graph_val,0.8553541898727417,0.029085707022040122,5,0.856033353251721,0.02851183731598348,5,90750.0,0.0,5,5.0,0.0,5,2.0,0.0,5,1.8,0.4472135954999579,5,1.2,0.4472135954999579,5,7520.4,108.32497403646124,5,407700.0,0.0,5,40.63343328000629,1.6121210719393535,5
